,,Notes,Artificial Pilot,Archive Inc Pilot,RST Pilot,Pinnacle Pilot,Detritus Pilot,,Ralph Karlsson,Bethany Jones,Abe Isamu,Harold Schmidt,Prospero,Lily Reed,Chen Rong,Henry Kwan,Camila Vera,Gana,Isaac Jones,Silica,Archimedes,Kazaaakpleth,Mafan,Ariadne,,Archive Inc CEO,Rust CEO,Snow CEO,Detritus CEO
,Mission_Dam_Destroyed,After the completed animation of the dam drowning things,"""Accessing: Region topography\nUpdated: River now online"",
""Update: Vek tunneling prevented\nCause: Water barrier"",
""Update: Vek environmental barrier online""","""I guess this is what you'd call Archive terraforming?"",
""Shame about the dam, but it was necessary."",","""Uh... Archive control? You've got yourselves a new river."",
""Dam breach successful."",
""That'll make a nice wall to Vek burrowing efforts.""","""[ Dam has been destroyed, river has been deployed ]"",
""[ River has been deployed ]"",
""[ Vek burrowing efforts halted by river ]""","""Someone should tell #corp they've got a new river."",
""Updating region maps with the new river..."",
""That should curtail the Vek's attempts to burrow inland.""",,"""That did it!"",
""Water's the best wall against burrowing Vek."",","""Looks like Archive's got a new river."",
""That river should serve as a natural barrier against Vek burrowing inland.""","""From violence, a river."",
""A dam has become a dam of another sort - a barrier against the Vek.""","""The flooding has made a natural barrier!"",
""We seem to have made a mess of the dam."",","""Dam recycled. River is now irrigating the region."",
""Water has formed a natural barrier against Vek burrowing attempts."",","""Do we get to name the river?"",
""We should name the river after the squad - the #squad River, maybe?""","""River's deployed."",
""Not the best irrigation job I've ever seen, but..."",
""Dam objective complete. Uh... for the record, that wasn't profanity, it's an actual dam.""","""First dibs on naming the river... #self_second River, discovered by yours truly."",
""Vek tunnel into that, they can cry me a river... get it? ...Anyone?""","""Should be proud - R.S.T. terraforming rarely makes rivers."",
""This river will make a good defensive wall against tunneling Vek.""","""Monument obliteration detected."",
""Monument obliteration complete."",
""Monument has been obliterated with extreme prejudice."",
""A new drainage ditch has been created."",
""A river to ferry away the dam wreckage is now online."",","""This sh-sh-should put a s-s-stop to the Vek's tunneling efforts."",
""This'll s-s-stop the Vek burrowers... but n-n-not the fliers.""","""Dam demolition successful."",
""Dam obstruction removed.""","""Well, that dam would have collapsed eventually, I suppose."",
""If we must sacrifice decrepit human museum pieces to defeat the Vek, it seems like a win-win."",","""Tch'k! Jjk!""","""/ ::..:: \""",""":: Rhnnn-kk-k-HNH! ::""",,"""Look at that river run! Well done #squad, I knew you could do it!"",
""You know, I always thought a river would look nice in that region.""",,,
,Mission_Satellite_Destroyed,"Triggers only when the first satellite is destroyed
","""Update: Satellite 'Argus V' destroyed""","""Dewey must be crying right now - his grandfather gifted that to Archive."",
""Poor 'Argus V' - that rocket still had life in its engines.""","""Rocket's destroyed, commander."",
""We lost one of the rockets, commander."",
""It's gone! Protect the other rocket!""","""[ Rocket has been destroyed ]"",
""[ Launch canceled ]""","""We've lost one of the satellites."",
""First satellite lost, defend the second!"",
""What a waste...""",,"""Guess that one's not seeing orbit."",
""Protect the second one!""","""Rocket's disabled!"",
""We've lost one of the rockets!""","""We no longer need to protect that rocket."",
""Focus efforts on the second rocket.""","""And I hoped to see it fly..."",
""There goes my chance of seeing it launch...""","""Satellite recycled. Its rocket emissions will also no longer contaminate the region."",
""Rocket has been recycled. Detecting chemical residue bleeding into soil."",","""Oh no! The rocket!"",
""That poor satellite - it'll never see the stars."",
""I guess we still have the other one? For now?"",
""We still have one more rocket!""","""First satellite's been destroyed."",
""Satellite's lost. Protect the other one!"",
""Defend the other satellite!""","""That satellite wasn't really a gift from Dewey's grandpa was it? Tell me it wasn't."",
""Uh... the loss of the rocket was out of our control. At least that's the story I'm sticking to.""","""First satellite's destroyed, commander."",
""First satellite's lost, commander.""","""Rocket has suffered system failure."",
""Rocket has been decommissioned."",
""Rocket couldn't take the pressure."",","""We've lost one of the s-s-satellites!"",
""The s-s-satellite! It's destroyed!"",
""Satellite's g-gone! Wh-What do we do now?"",
""W-We still have the other r-rocket, right?""","""Unauthorized destruction of Archive property detected."",
""Rocket destroyed.""","""A waste of a perfectly adequate rocket."",
""Let's leave this incident off the public channels until we see what happens with the other rocket."",","""Tch'k; Jjk.""","""\ ::..:: /""",""":: Nnn… HRN. ::""",,"""No, not the satellite! I can't look!"",
""The satellite's lost! Grandfather must be spinning in his grave..."",
""I'm sorry, grandfather, we tried to keep the satellites preserved...""",,,
,Mission_Satellite_Imminent,"Triggers when the Satellite queues its launch (the turn before it actually launches) -- It can trigger for either satellite, or both, it's randomized.","""Update: Rocket preparing to launch""","""Almost ready to launch. I hope that rocket holds together..."",
""We'll soon see if that Archive maintenance paid off when that rocket launches..."",","""Almost ready to launch..."",
""It's almost in the air, commander."",
""Just need to buy that rocket a little more time...""","""[ Launch imminent ]""","""Rocket's firing up..."",
""Be sure to clear the rocket's blast area!"",
""Rocket's about to launch, get to minimum safe distance!""",,"""Rocket's firing up - stay clear!"",
""Satellite's about to launch - keep your distance!"",","""Satellite's almost ready to launch!"",
""Just a little longer before it takes off..."",","""Do not let the Vek near the rocket."",
""Keep the Vek from the launchpad.""","""Almost clear for launch!"",
""Rocket systems are green."",","""Rocket is about to leave this habitat."",
""Short-term damage from rocket exhaust offset by long-term gain in Vekticide efforts.""","""10... 9... 8..."",
""Archive, this is, uh, Chief #self_second in mission control. It's a clear day, and rocket's about to launch!"",
""The rocket's almost ready for takeoff!"",
""We just need to buy the rocket a little more time..."",
""I want a front row view of the launch, but the pad's going to get reeeal hot in a second...""","""Just a little longer..."",
""It's almost ready to take off..."",
""Stay clear of the launch pad - that rocket'll fry anything near it on takeoff!""","""Will that damn thing launch already?!"",
""If you can fry a Vek using the launch pad, do it!""","""Satellite's almost ready for launch, commander."",
""#squad, stay clear of the launch pad or you'll be ash!"",","""Clear the launch pad. I repeat, clear the launch pad."",
""Warning: Launch pad temperatures will rise enough to melt our Mech's hulls."",
""Rocket launch imminent - all #squad get to minimum safe distance.""","""R-R-Rocket's almost about to launch..."",
""R-R-Rocket's about to launch... g-get clear of the pad while you c-can!""","""Seismic readings indicate imminent rocket launch.""","""Why, I believe the rocket may actually launch."",
""Be careful of the rocket exhaust, our Mechs are not built to withstand the blast."",","""Kc'cht… Jjk…""","""/ *::..: \""",""":: …rhnnn-kk-k-nnn… ::""",,"""The rocket's about to take off! I can't believe it!"",
""Rocket's almost ready, #squad, just keep the Vek away a little longer...""",,,
,Mission_Satellite_Launch,"Triggers when the satellite actually takes off, can trigger for either or both","""Update: 'Archive, we have liftoff!'""","""I can't believe it can fly!"",
""Guess CEO Alms was right - they can still fly!"",
""The rocket's taking off!"",
""Relic's away!""","""Rocket's airborne!""","""[ Rocket launch detected ]"",","""Reporting successful satellite launch!"",
""Launch successful!"",
""Satellite's out of reach of the Vek now...""",,"""Satellite's away!"",
""Hope that Archive rocket holds together...""","""It's away!"",
""Beautiful sight!"",","""Focus on the ground, not the launch."",
""That rocket is no longer our concern.""","""We have liftoff!"",
""I wish I could have gone along for the ride...""","""Countless insects and plants have given their lives for this launch."",
""Rocket has left habitat and is entering new habitat in upper atmosphere.""","""Wow! Look at that rocket go!"",
""I can't believe it... an actual rocket launch!"",
""I heard we used to send rockets into space all the time...""","""#corp, we have launch!"",
""Archive, rocket's away!"",","""Dammmn! Look at it go!"",
""I can't believe that piece of junk can still fly!""","""Satellite's in the air, commander."",
""Launch successful, commander.""","""Rocket has left the work zone."",
""Post-launch clean-up procedures in full effect.""","""It launched... the r-r-rocket actually l-l-launched!"",
""W-W-Would you look at that - it's in th-the air!"",","""Launch successful.""","""I hope it doesn't hit the station in orbit ...there is one in this timeline, isn't there?"",
""Give my regards to the orbiting lab - if it's even still there.""","""Kc'cht…?! KK'hhh'kht!""","""// ::..:: \\""",""":: Rhnnn-kk-k-HNH! ::""",,"""It's away! Oh my stars, that is magnificent!"",
""I can't believe it, the rocket launched! Er, well, I mean, I was SURE it would, but Old Earth relics can be, um, unreliable sometimes.""",,,
,Mission_Mines_Vek,Vek Killed by Mine,"""Warning: Detonation detected\nCause: Proximity mine""","""Looks like Old Earth still has some surprises for the Vek."",
""Good thing we held off on disarming those land mines..."",
""Old Earth demolitions at work.""","""Mine shredded that Vek."",
""Love to see those Vek pop."",","""[ Detonation detected ]"",
""[ Explosion detected ]""","""Vek destroyed in the detonation."",
""Mine's disposed of the Vek."",",,"""Never get tired of seeing that."",
""The proximity mine took it out!"",","""Oh! That mine took out the Vek!"",
""I... I guess the Vek can't sense mines.""","""A mine is a coward's weapon, but for the Vek, it is fitting."",
""Let them come to us.""","""Why, those Old Earth mines still work! Excellent!"",
""Thought that mine's proximity sensor might be a bit dodgy, but it did the job!"",","""Garden proximity mine has assisted in Vekticide efforts."",
""Vek infestation countered by proximity mine."",
""Proximity mine is assisting in Vek recycling efforts."",
""New arable land has been cleared by proximity mine."",","""Whoa! Vek should have watched where it stepped."",
""It's the Vek's own fault for having too many legs. Was bound to hit a mine eventually."",
""Teach that Vek not to trespass on Archive island!"",
""There's plenty more mines around for you Vek to step on!""","""We could use a few more mines like that."",
""Mine's done its work!"",
""Vek don't seem to recognize what a mine is. Their loss, our gain.""","""Ha! I will NEVER get tired of seeing that."",
""I could watch Vek pop into confetti all day."",
""Tell #corp we're going to need another mine. And another Vek."",","""Proximity mine took out that Vek."",
""Vek hit a proximity mine - that evened the odds a bit."",
""#squad, position yourselves between the Vek and the mines, let them come to you!""","""Vek demolition successful."",
""Proximity mine functioning within normal parameters."",
""Vek has unsuccessfully interacted with an Archive proximity mine.""","""It was killed b-b-by the mine."",
""The m-mine went off... the Vek d-didn't even see it..."",
""The Vek... it d-didn't even know it was there...""","""Authorized proximity mine detonation detected."",
""Proximity mine has detonated.""","""Primitive mines. But effective."",
""Those mines are old technology, but adequate."",","""Kc'cht…?! Vk? Tk'tch'Kch?""","""/ *::..: \""",""":: Rhnn-kk-n?! …Hnh. ::""",,"""Well, those Old Earth mines still have some fire in them!"",
""Please be careful of the mines - I certainly wouldn't want you to go the way of that Vek!""",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mission_Terraform_Destroyed,If the terraformer is destroyed,"""Update: Terraformer destroyed""","""Terraformer destroyed. Hate to be the one to tell CEO Kern."",
""Terraformer's down! So much for R.S.T. tech."",
""Won't have that terraformer to help rebuild when the war's over...""","""Terraformer destroyed. CEO Kern must be losing it right now."",
""R.S.T. is going to have us filling out reports on this for months."",
""Terraformer down, commander."",
""Thing was one of R.S.T.'s best defenses against the Vek!""","""[ Terraformer has been destroyed ]"",
""[ Terraformer is offline ]""","""Terraformer destroyed. A terrible loss."",
""R.S.T. was counting on that terraformer...""",,"""Dammit! We needed that terraformer!"",
""Kern's going to have our heads for losing that terraformer...""","""No! We've lost the terraformer!"",
""Terraformer's gone! Such a waste...""","""The terraformer is destroyed."",
""The terraformer no longer needs our protection."",
""The terraformer is lost. Focus on the Vek.""","""A waste of perfectly good tech..."",
""There goes our chance of environmental recovery after the war...""","""Terraformer has been recycled. May it never be rebuilt."",
""Crude, unplanned terraforming efforts have been put on hold. Indefinitely."",","""Whoops. We needed that terraformer, right?"",
""Was that terraformer supposed to blow up?"",","""Better than losing the Grid, but Kern's going to blow a fuse over the terraformer."",
""CEO Kern isn't going to be happy about losing that terraformer...""","""CEO Kern's going to lose it over that terraformer."",
""Nothing we can do about that terraformer. R.S.T. can bill me."",
""Let me do the talking in the R.S.T. debriefing, I'll smooth this over.""","""Mother... CEO Kern in this timeline... isn't going to be happy."",
""Terraformer's destroyed, commander.""","""The terraformer has ceased operations."",
""The terraformer has expired. Calling deconstruction crews now.""","""We've lost the t-t-terraformer!"",
""The terraformer's g-gone! Wh-What do we do n-now?""","""Terraformer represented a substantial investment of R.S.T. resources."",
""R.S.T. Terraformer operations interrupted.""","""I believe the Corporate Accords protect us from any liabilities resulting from the terraformer's loss."",
""The R.S.T. terraformer was doing tremendous damage to this island anyway."",","""Tch'k; Jjk.""","""\ ::..:: /""",""":: Nnn… HRN. ::""",,,"""Report to my office about that terraformer as soon as you're back."",
""About that terraformer... make my office the first stop when you return to base."",
""Terraformer's offline. Careless.""",,
,Mission_Terraform_Attacks,"After the player uses the terraformer (not necessarily the first, random chance)

This will obey the same rules as other barks, where something like a pilot death will take priority.","""Accessing: Region topography\nUpdated: Terraforming successful""","""No wonder this island shifts so much."",
""Okay, that's scarier than these Mechs."",
""Vek picked the wrong fight with R.S.T.""","""Think that's impressive? Wait till you see an R.S.T. Earth Mover in action.""","""[ Please stay clear of terraformer work area ]"",
""[ Terraforming initiated]""","""Watch out for the terraformer, it won't distinguish friend from foe."",
""Keep a safe distance from the terraformer."",
""R.S.T. needs more stringent safety protocols on that machine...""",,"""Keep clear, let the terraformer do its work!"",
""Watch it, people, you don't want to get near that thing.""","""Wow. R.S.T. tech sure is... effective."",
""No wonder the Vek are attacking that thing."",","""A scorched earth policy, then."",
""The land will only endure so much."",","""Fascinating! A marvelous piece of technology!"",
""It's much like a Detritus teleporter, but for sculpting terrain..."",","""Terrain has been crudely tilled."",
""R.S.T. uses a hammer when a tractor will do.""","""Whoa. That terraformer gives me the shivers."",
""No wonder R.S.T. Island shifts so much...""","""Stay clear of the terraformer, #squad - we've got our own job to do."",
""Keep the Vek away from the terraformer, #squad, let it do its work."",
""Stay clear of the terraformer, #squad, you don't want to get caught in its wake.""","""I need THAT as a weapon."",
""We need to put that terraformer on a Mech, we'd have the war won in no time!""","""Terraforming successful."",
""Terraformer's doing its job, commander."",","""Work site has been altered. R.S.T. terrain successfully subjugated."",
""The R.S.T. terraformer has broken the island terrain to its will.""","""The terraformer... just... d-d-dissolved the terrain."",
""The terraformer... just... w-wiped away the g-ground.""","""R.S.T. Terraformer rezoning of region complete."",
""R.S.T. Terraformer operations successful.""","""That R.S.T. terraformer consumes an abhorrent amount of energy."",
""If you ever wondered why so much of R.S.T. is nothing but particles... there's your answer.""","""KC'CHT…?!""","""\ *:*::. /""",""":: Rhnn-KK-K-N?! …HnH…? ::""",,,"""Stay out of the terraformer's way and let it do its work."",
""Use the terraformer to kill the Vek if you have to... it's an effective weapon.""",,
,Mission_Cataclysm_Falling,Triggers when ground is falling during either RST mission with falling ground,"""Accessing: Region topography\nUpdated: Canyon added to database""","""Ground's shifting!"",
""How does R.S.T. even live here?"",
""Seismic readings are off the scale!""","""Quake on sensors... just another day in the R.S.T."",
""Living on R.S.T., you get used to the quakes."",
""That should stir the Vek up...""","""[ Earthquake warning ]"",
""[ Attempting to project aftershocks... calculating... ]"",","""It's a wonder R.S.T. doesn't tear itself apart..."",
""Seismic readings are off the charts!"",
""The ground's collapsing, be careful!"",",,"""Seismic readings are off the charts!"",
""Watch your footing, ground's giving way!""","""This island is tearing itself apart - how does R.S.T. survive here?!"",
""Earthquake!"",","""Use the canyons against the enemy."",
""Drive our enemies into the ground.""","""Tremors on sensors... hold on!"",
""All these quakes... I hope R.S.T. knows what it's doing to its own island...""","""Terrain is unstable. A new geologic survey of the area will be required."",
""These fissures will only stop ground Vek. Watch your sensors for airborne Vek."",","""Is this island with us or against us?"",
""That chasm could swallow a city! And us! Several 'us's!""","""Never get used to fighting on this unstable terrain..."",
""Watch your fire, #squad - and watch the ground!"",
""These quakes must be driving the Vek into a frenzy...""","""I think we just lost ground. Literally."",
""Plug those chasms with the Vek!""","""Registering quakes! Watch the ground!"",
""Watch for tremors! If you fall, we won't be able to rescue you!"",
""#squad! Keep an eye on your seismic sensors!""","""Unsafe work conditions detected."",
""The foundation of the R.S.T. structures were designed to resist these quakes."",","""S-S-Seismic readings are off th-the scale!"",
""Are these q-q-quakes... n-n-normal on R.S.T.?"",","""Seismic readings indicate unstable land mass."",
""Scan for new mineral deposits in canyons commencing.""","""All ground units, be advised we have a terrain collapse in effect."",
""R.S.T. citizens, there is no cause for alarm. Please remain in your designated emergency areas.""","""KC'CHT…?!""","""\ *:*::. /""",""":: RhnNn-k-K-k-nNn! ::""",,,"""Watch the terrain... R.S.T. is continually shifting and breaking apart."",
""Knock the Vek into the chasms if you can - the fall will kill them.""",,
,Mission_Lightning_Strike_Vek,"If lightning hits a Vek
","""Update: Recalibrating EMP safeguards"",
""Alert: Electrical discharge detected""","""Don't mess with mother nature..."",
""Watch for other strikes, we don't want to get hit, too."",
""That's way better than an Archive air strike...""","""Storm's out of control..."",
""R.S.T. started using the weather to fight the Vek... now it's fighting on its own."",
""Watch out for the storms, not just the Vek!""","""[ Vek has been electrocuted ]"",","""Guess lightning and Vek don't mix."",
""Seems there's no such thing as a re-usable Vek lightning rod."",
""The lightning has vaporized it.""",,"""Nothing like the smell of charred Vek."",
""Mother nature's bug zapper."",","""Did you see that flash? I feel bad for the Vek..."",
""We'd better avoid that storm or we'll end up like the Vek.""","""Sword of heaven."",
""Lightning purifies."",
""May the storms rain their fury upon the Vek.""","""Confirmed. The Vek are not shielded against electrical discharges."",
""The discharge vaporized the Vek!"",
""Looks like CEO Kern is putting the sky's natural weapons to good use..."",","""The storm has recycled the Vek."",
""The storm has disintegrated many of the Vek's essential nutrients."",","""Yikes! That storm means business!"",
""Ouch! Do you think that Vek felt any pain...?"",","""Lightning took the Vek out!"",
""Vek got caught in the storm!"",
""Vek's sparks and embers now."",
""Vek's fried!""","""Weather reports today indicate a 100% chance of fried Vek."",
""That must have been a shock... get it? Anyone?"",","""R.S.T. weather stations report more strikes on the way..."",
""If only R.S.T. could regain control of those stormfronts..."",","""Vek has been exposed to lethal amounts of electricity."",
""Vek lacks adequate insulation to survive a lightning strike."",","""The V-Vek do not seem immune t-t-to electrical d-d-discharges."",
""It s-seems the Vek's c-carapace isn't insulated...""","""Vek conducting unauthorized meteorological studies."",
""Logging data on Vek meteorological interactions.""","""The storm has discharged itself all over the Vek. Messy."",
""The Vek's insulation has proved inadequate to withstand a lightning strike.""","""Kc'cht…?! Vk! Tk'tch'Kch!""","""| **::.. |""",""":: Rhn-k-K-k-n?! …Hnh. ::""",,,"""Even storms hate the Vek..."",
""That's why we harness the weather against the Vek. It's quite effective.""",,
,Mission_Solar_Destroyed,Solar panel destroyed,"""Update: Solar farm destroyed""","""Solar farm's destroyed!"",
""Kern's going to lose it when she hears about the farm."",
""Well, with the farm lost, expect power rationing in the near future...""","""Kern's not going to like our report about the farm, commander."",
""Farm's destroyed, commander.""","""[ Solar farm has been destroyed ]"",
""[ Solar farm is offline ]""","""Farm's destroyed - no way we can salvage it."",
""Every solar farm lost costs us more power in the future..."",
""Kern won't be happy about that solar farm..."",",,"""Solar farm's wrecked!"",
""Kern's going to have our ass for that solar farm...""","""No! We've lost the solar farm!"",
""The solar farm... it's destroyed! The people..."",","""The solar array is no more."",
""The array is lost. Focus on killing Vek."",","""Such a waste! All those solar panels... wrecked."",
""A waste. Not even the farm's panels look salvageable.""","""Solar farm recycled."",
""Solar collection efforts have been halted.""","""I think we just lost the solar farm."",
""Weren't we supposed to protect the solar farm?""","""Farm's been destroyed!"",
""We lost the solar farm."",
""Not much we could do. The solar farm wasn't built for battlefield conditions...""","""Solar farm's gone, nothing we can do about it now."", 
""Let me handle the debriefing on what happened with the solar farm, I'll smooth this over.""","""Solar farm's destroyed, commander."",
""Solar farm's gone. Need to do better, #self_first...""","""Solar array's components have failed to defend it."",
""Solar array's structural integrity has been found lacking.""","""The f-farm... it's gone!"",
""The f-farm! It's d-d-destroyed!"",
""The f-farm is g-gone! Wh-What do we do n-now?""","""Unauthorized destruction of R.S.T. property detected."",
""R.S.T. solar array destroyed. Disruption in long-term power projections logged.""","""The solar farm's fragile construction has failed in light of current combat conditions."",
""I regret to inform you all that the solar farm has shut down operations indefinitely.""","""Tch'k; Jjk.""","""\ ::..:: /""",""":: Nnn …Hrrrrnn… ::""",,,"""I'll see to it you apologize to the R.S.T. families personally."",
""We needed those farms!"",
""Solar farm's been destroyed. Careless.""",,
*,Mission_Force_Reminder,Remind player to destroy the mountains,"""Reminder: Mountains must be destroyed""","""Remember, we need to level those mountains before the Vek start making hives in them."",
""We still need to level those mountains to prevent future Vek hives.""","""Those mountains still have to go."",
""Those mountain Vek-hives-to-be still need to be leveled."",
""Don't worry about the mountains, commander, we'll bring them down.""","""[ Mountains still need to be destroyed ]"",
""[ Destruction of mountains is among our primary objectives ]""","""We still need to bring down those mountains, everyone."",
""#squad, keep in mind we need to level those mountains before we go."",
""Remember, destroying those mountains is key to securing the region.""",,"""Still need to bring down those mountains..."",
""#squad... if you're not killing Vek, direct fire on the mountains.""","""The mountain range is still intact... if we don't bring it down, the Vek will make hives there."",
""If anyone has a clear shot at the mountains, we need to bring them down!""","""Our orders are clear. The mountains must be destroyed."",
""If the mountains remain standing, we have not won this day.""","""We still need to destroy those mountains... prevent the Vek from nesting in them."",
""That mountain range still needs to be leveled..."",
""We still need to bring down those mountains, don't we?"",","""Mountains must be removed to prevent Vek hive formation."",
""Mountains still need to be recycled."",","""Can we blow up some mountains now? Please? They gave us permission!"",
""I know we have our orders, but I don't understand why R.S.T. can't dissolve the mountains themselves..."",
""I hope when we crack those mountains, we don't discover a Vek hive's already there...""","""Don't forget - we're here to take down the mountains, CEO Kern's orders."",
""Still got more mountain clean-up work to do, #squad."",","""Wait... didn't the commander say something about blowing up the mountains?"",
""I hope you're not expecting me to destroy all the mountains."",
""Mountains don't count as kills. I'll only do it if I have to.""","""We still need to bring down those mountains. Commander's orders."",
""All #squad - if you don't have a clear shot at the Vek, level the mountains!"",
""Remember - our mission is to take down those mountains if we can."",","""Mountains still require obliteration."",
""Our work orders are clear. Mountains must be obliterated."",
""Mountains must be made unsuitable for Vek habitation.""","""Um... w-what about the m-mountains?"",
""S-should I handle destroying the m-mountains?"",
""Are our Mechs able to t-take down those m-mountains?""","""Mountains in region queued for excavation."",
""Requesting authorization to commence mountain excavation."",","""I feel the need to remind everyone we need to bring down those mountains."",
""I believe the commander's orders were to destroy the mountains.""","""Kc'cht! Jjk! JJK!""","""| .----. |""",""":: Rhnnn-k-n. ::""",,,"""You have your orders. Those mountains need to come down."",
""If those mountains remain standing, the Vek will use them as a staging ground for more attacks."",
""Direct your fire on the mountains! We can't let them be used as hives.""",,
Pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mission_Freeze_Mines_Vek,Vek Frozen by Mine. This takes priority over all other Freeze conditions.,"""Update: Vek in hibernation mode\nCause: Pinnacle cryo-mine"",
""Update: Vek mobility at 0%\nCause: Pinnacle cryo-mine"",
""Update: Vek in hibernation mode"",
""Update: Vek mobility at 0%""","""The cryo-mine got one of the Vek!"",
""Cryo-mine went off! Vek's frozen solid!"",
""Cryo-mine went off, but careful, that Vek's still alive in there.""","""The Vek need to learn to watch where they step."",
""Cryo-mine disabled the Vek, commander."",
""Cryo-mine froze the Vek, commander.""","""[ Cryo-mine triggered ]"",
""[ Target has been immobilized ]""","""Cryo-mine successful. Vek's been incapacitated."",
""Vek was immobilized by the cryo-mine, but it's still alive."",
""Vek is frozen, but watch your fire, or it might break free.""",,"""Land mine's better, but putting them on ice is just fine with me."",
""The cryo-mine put that Vek on ice."",","""Cryo-mine went off! The Vek's completely encased in ice!"",
""That cryo-mine should hold the Vek!""","""The Vek has ceased moving."",
""Winter has seized the Vek."",
""The Vek and the cold are not allies.""","""The Vek hit the cryo-mine!"",
""The cryo-mine has stopped the Vek!""","""The cryo-mine has suspended the Vek in ice."",
""The cryo-mine has rendered the Vek inert until we dispose of it."",
""The cryo-mine has suspended the Vek life cycle.""","""Whoa! Vek should have watched where it stepped."",
""Cryo-mine'll teach that Vek not to trespass on Pinnacle Island!"",","""Cryo-mine froze the Vek!"",
""Cryo-mine did its work."",
""Cryo-mine got the Vek!"",","""I bet that Vek's blinking under the ice, wondering what happened."",
""Let's save that frozen Vek for last...""","""Cryo-mine took it out. For now."",
""It's been frozen by the cryo-mine - but it's still alive."",
""#squad! Try to position yourselves between the Vek and the cryo-mines!"",","""Cryo-mine is functioning within normal parameters."",
""Vek has failed to observe worksite safety procedures."",
""Vek hazard has suffered a cryogenic workplace accident.""","""The cryo-mine... it s-s-stopped the Vek!"",
""Vek life signs are s-s-slowing - it's t-t-trapped."",
""The Vek hit by the c-cryo-mine... its metabolic readings are s-s-slowing!"",
""The cryo-mine w-w-worked... but will the ice hold it...?""","""Cryo-mine detonation confirmed. Vek contained."",
""Cryo-mine detonation confirmed. Vek frozen.""","""Last-gen cryo-tech, but effective."",
""An old cryo-mine design, but adequate."",
""The cryo-mine has fulfilled its purpose.""","""Kc'cht…?! Vk! Tk'tch'Kch…?""","""| *::---- |""",""":: Hnn? Hn-Hnn! ::""",,,,"""The cryo-mine has preserved the Vek. I am detecting very faint life signs."",
""The ice is only a temporary solution. Something may yet set it free."",
""The cryo-mine has frozen the Vek. Focus on other targets now."",",
,Mission_Factory_Destroyed,Bot Factory destroyed,"""Update: Robotics factory destroyed""","""Factory's down!"",
""At least no more haywire bots will be coming out of there...""","""Pinnacle can bill me."",
""Factory's destroyed, commander.""","""[ Factory has been destroyed ]"",
""[ Factory is offline ]""","""The factory wasn't designed to withstand that kind of damage."",
""There was no way it could withstand a hit like that."",
""Zenith will not be pleased with our performance.""",,"""Factory's down. At least it's not spawning more problems."",
""Factory's gone. Pinnacle's not going to be happy.""","""Wish we could have saved it... Zenith, we're so sorry."",
""If only we had had the time to fix the factory..."",","""The factory is no more."",
""The factory is destroyed.""","""A shame. I'm sure we could have fixed that factory."",
""Now we may never know what went wrong at the factory..."",","""Robotics factory operations have been halted. Indefinitely."",
""Malfunctioning robot construction efforts have been halted.""","""Whoops. Was that factory supposed to blow up?"",
""At least we won't have to worry about any more crazy robots...""","""Factory's been hit!"",
""...Factory's gone."",
""...I'll report the factory's loss to Zenith personally."",
""Going to catch hell for that... or worse, Zenith's cold shoulder.""","""Uh, the loss of that factory? It's really the robot's fault when you think about it."",
""Let me handle the debriefing on the loss of the factory, I'll smooth this over."",
""Trust me, Zenith will get over losing her murder bot factory.""","""Robotic factory's destroyed, commander."",
""Factory's destroyed. Need to do better, #self_first..."",","""The factory's components have failed to defend it."",
""The factory's structural integrity has been found lacking."",
""The factory was too fragile to survive the attack."",
""The factory was not only malfunctioning, but it also failed to reinforce its hull against an attack.""","""All that r-r-research... all th-th-those robots... lost."",
""Were we... weren't we s-s-supposed to p-p-protect the factory?"",
""C-C-Could we have used that factory to fix the robots?""","""Unauthorized destruction of Pinnacle property detected."",
""Pinnacle factory destroyed. Disruption in long-term Pinnacle mechanized deployment logged.""","""Thousands of intelligences... current and future... extinguished."",
""I... I can't look. Shutting down receptors."",
""Now we'll never know if we could have saved them."",","""Tch'k; Jjk.""","""\ ::..:: /""",""":: Nnn… HRN. ::""",,,,"""That factory housed millions of lives. They were sick, but they could have been helped"",",
